ID,Wind speed in km/h,Water temperature in degrees Celsius,Waterfowl population,Wave Action,Turbidity of water (NTUs)
13856,8,12,NA,NA,NA
13857,8,14,NA,NA,NA
13858,8,14,20,NA,NA
13859,4,15,NA,NA,0.58
13860,4,15,14,NA,0.51
13861,4,13,10,NA,NA
13862,4,15,NA,NA,NA
13863,4,15,100,NA,NA
13864,4,16,NA,NA,NA
13865,4,17,4,NA,NA
13866,4,15,42,NA,NA
13867,4,16,129,NA,NA
13868,4,17,7,NA,NA
13869,4,13,NA,NA,3.25
13870,4,15,16,NA,29.8
13871,4,NA,NA,None,NA
13872,4,19,NA,NA,NA
13873,4,20,NA,NA,NA
13874,4,20,NA,NA,NA
13875,4,21,6,NA,NA
13876,4,18,3,Low,NA
13877,4,17,14,Low,NA
13878,4,17,NA,Low,NA
13879,11,19,12,Moderate,8.51
13880,11,19,6,Low,6.03
13881,11,20,NA,NA,NA
13882,11,20,1,NA,NA
13883,11,20,NA,NA,NA
13884,11,21,2,NA,NA
13885,11,21,13,NA,NA
13886,11,17,3,Low,NA
13887,11,18,7,Low,NA
13888,11,20,NA,Low,NA
13889,8,21,7,Low,3.72
13890,8,20,12,NA,0.75
13891,8,23,15,NA,NA
13892,8,23,NA,NA,NA
13893,8,23,67,NA,NA
13894,8,24,4,NA,NA
13895,8,24,2,NA,NA
13896,8,24,NA,Low,NA
13897,8,24,NA,Low,NA
13898,8,24,13,NA,NA
13899,15,18,6,NA,1.18
13900,15,18,21,Low,0.85
13901,15,18,NA,NA,NA
13902,15,17,NA,Low,NA
13903,15,19,21,NA,NA
13904,15,19,NA,NA,NA
13905,15,19,6,NA,NA
13906,15,14,8,Low,NA
13907,15,14,57,Low,NA
13908,15,20,NA,Low,NA
13909,18,11,NA,Moderate,0.88
13910,18,11,5,Moderate,1.04
13911,18,9,3,Low,NA
13912,18,11,NA,Low,NA
13913,18,12,NA,Low,NA
13914,18,12,1,High,NA
13915,18,12,NA,Low,NA
13916,18,9,1,Low,NA
13917,18,9,3,Low,NA
13918,18,8,NA,Low,NA
13919,21,13,2,NA,0.6
13920,21,14,8,NA,0.83
13921,21,13,NA,NA,NA
13922,21,14,NA,NA,NA
13923,21,15,NA,NA,NA
13924,21,15,20,NA,NA
13925,21,15,NA,NA,NA
13926,21,10,NA,NA,NA
13927,21,10,69,NA,NA
13928,21,15,14,NA,NA
13929,15,23,NA,NA,1.59
13930,15,23,72,NA,0.81
13931,15,20,12,NA,NA
13932,15,19,NA,NA,NA
13933,15,20,8,NA,NA
13934,15,21,NA,NA,NA
13935,15,21,1,NA,NA
13936,15,21,NA,NA,NA
13937,15,22,35,NA,NA
13938,15,19,3,NA,NA
13939,32,14,4,Moderate,0.88
13940,32,15,10,NA,0.74
13941,32,NA,NA,None,NA
13942,32,NA,NA,None,NA
13943,32,NA,NA,None,NA
13944,32,NA,NA,None,NA
13945,32,NA,NA,None,NA
13946,32,12,NA,Moderate,NA
13947,32,11,NA,Moderate,NA
13948,32,12,NA,Moderate,NA
13949,5,20,24,Low,3.19
13950,5,23,3,Low,2.39
13951,5,23,2,Low,NA
13952,5,24,NA,Low,NA
13953,5,24,NA,Low,NA
13954,5,23,1,Low,NA
13955,5,24,26,Low,NA
13956,5,16,12,Low,NA
13957,5,16,50,Low,NA
13958,5,18,NA,Low,NA
13959,4,18,5,NA,0.64
13960,4,16,49,NA,0.79
13961,4,20,NA,NA,NA
13962,4,20,NA,NA,NA
13963,4,20,1,NA,NA
13964,4,20,5,NA,NA
13965,4,20,6,NA,NA
13966,4,15,30,NA,NA
13967,4,15,20,NA,NA
13968,4,17,NA,NA,NA
13969,15,16,NA,NA,0.93
13970,15,15,16,NA,0.62
13971,15,18,NA,NA,NA
13972,15,18,1,NA,NA
13973,15,18,3,NA,NA
13974,15,19,NA,NA,NA
13975,15,19,NA,NA,NA
13976,15,17,9,NA,NA
13977,15,17,73,NA,NA
13978,15,16,5,NA,NA
13979,18,17,17,Low,1.57
13980,18,18,NA,NA,0.91
13981,18,18,3,Low,NA
13982,18,17,NA,Low,NA
13983,18,17,4,NA,NA
13984,18,18,15,Low,NA
13985,18,19,7,NA,NA
13986,18,20,NA,Low,NA
13987,18,20,3,Low,NA
13988,18,21,10,Low,NA
13989,24,16,6,NA,0.69
13990,24,18,NA,NA,1.05
13991,24,17,NA,NA,NA
13992,24,21,NA,NA,NA
13993,24,21,12,NA,NA
13994,24,22,1,NA,NA
13995,24,24,8,NA,NA
13996,24,19,3,NA,NA
13997,24,18,73,NA,NA
13998,24,17,10,NA,NA
13999,11,8,5,Low,0.89
14000,11,10,3,NA,0.85
14001,11,13,24,Low,NA
14002,11,18,5,NA,NA
14003,11,16,17,NA,NA
14004,11,18,NA,NA,NA
14005,11,19,4,NA,NA
14006,11,8,14,Low,NA
14007,11,8,12,Low,NA
14008,11,6,NA,Low,NA
14009,11,13,8,NA,0.7
14010,11,15,25,NA,0.53
14011,11,17,14,NA,NA
14012,11,18,2,NA,NA
14013,11,17,3,NA,NA
14014,11,17,7,NA,NA
14015,11,18,5,NA,NA
14016,11,15,33,NA,NA
14017,11,16,75,NA,NA
14018,11,14,5,NA,NA
14019,13,22,NA,NA,0.55
14020,13,23,7,NA,0.56
14021,13,22,15,NA,NA
14022,13,22,11,NA,NA
14023,13,22,54,NA,NA
14024,13,24,NA,NA,NA
14025,13,25,NA,NA,NA
14026,13,20,3,NA,NA
14027,13,20,17,NA,NA
14028,13,17,4,NA,NA
14029,18,10,NA,NA,1.71
14030,18,12,12,NA,1.93
14031,18,15,3,NA,NA
14032,18,13,NA,NA,NA
14033,18,14,4,NA,NA
14034,18,13,NA,NA,NA
14035,18,12,NA,NA,NA
14036,18,9.5,13,NA,NA
14037,18,9.5,59,NA,NA
14038,18,9,NA,NA,NA
14039,13,8,3,NA,3.77
14040,13,8,3,NA,1.72
14041,13,13,NA,NA,NA
14042,13,14,NA,NA,NA
14043,13,14,NA,NA,NA
14044,13,14,NA,NA,NA
14045,13,14.5,NA,NA,NA
14046,13,12,18,NA,NA
14047,13,11,44,NA,NA
14048,13,10,3,NA,NA
14049,18,21,41,High,1.55
14050,18,23,28,Low,0.75
14051,18,15,NA,NA,NA
14052,18,20,NA,Low,NA
14053,18,20,110,Low,NA
14054,18,20,NA,Low,NA
14055,18,20,4,NA,NA
14056,18,12,NA,Low,NA
14057,18,12,7,Low,NA
14058,18,15,12,Low,NA
14059,26,22,NA,High,3.18
14060,26,22,41,NA,1.68
14061,26,19,NA,NA,NA
14062,26,19,NA,High,NA
14063,26,20,20,Low,NA
14064,26,19,NA,NA,NA
14065,26,19,12,NA,NA
14066,26,15,7,High,NA
14067,26,15,23,High,NA
14068,26,16,NA,High,NA
14069,28,15,NA,Moderate,3.94
14070,28,19,NA,Moderate,2.04
14071,28,16,NA,Low,NA
14072,28,17,NA,Low,NA
14073,28,18,NA,Low,NA
14074,28,17,NA,Low,NA
14075,28,19,NA,Low,NA
14076,28,9,6,Low,NA
14077,28,9,19,Low,NA
14078,28,16,NA,Moderate,NA
14079,NA,11,1,NA,1.26
14080,NA,11,NA,NA,2.24
14081,NA,11,NA,NA,NA
14082,NA,11,NA,NA,NA
14083,NA,12,NA,NA,NA
14084,NA,14,NA,NA,NA
14085,NA,16,NA,NA,NA
14086,NA,15,7,Low,NA
14087,NA,15,18,Low,NA
14088,NA,18,NA,Low,NA
14089,15,11,64,NA,0.42
14090,15,12,2,NA,0.51
14091,15,16,13,NA,NA
14092,15,16,NA,NA,NA
14093,15,16,16,NA,NA
14094,15,16,2,NA,NA
14095,15,19,7,NA,NA
14096,15,16,NA,Low,NA
14097,15,14,27,Low,NA
14098,15,13,12,Low,NA
14099,5,13,3,Low,1.3
14100,5,14,3,NA,0.99
14101,5,13,2,NA,NA
14102,5,13,2,NA,NA
14103,5,13,10,Low,NA
14104,5,14,5,NA,NA
14105,5,14,5,NA,NA
14106,5,12,14,Moderate,NA
14107,5,10,38,Low,NA
14108,5,14,5,Low,NA
14109,NA,12,12,NA,0.94
14110,NA,14,46,NA,1.08
14111,NA,18,2,NA,NA
14112,NA,20,NA,NA,NA
14113,NA,20,5,NA,NA
14114,NA,19,NA,NA,NA
14115,NA,18,12,NA,NA
14116,NA,14,3,Low,NA
14117,NA,14,17,Low,NA
14118,NA,19,NA,NA,NA
14119,21,20,11,Low,1.39
14120,21,20,54,NA,1.13
14121,21,21,1,NA,NA
14122,21,20,NA,Moderate,NA
14123,21,21,NA,Moderate,NA
14124,21,21,1,Low,NA
14125,21,20,4,Low,NA
14126,21,18,3,Moderate,NA
14127,21,18,27,Moderate,NA
14128,21,17,NA,Moderate,NA
14129,13,16,NA,Low,1.6
14130,13,16,NA,NA,0.57
14131,13,21,NA,NA,NA
14132,13,21,NA,NA,NA
14133,13,21,NA,NA,NA
14134,13,21,NA,NA,NA
14135,13,22,NA,NA,NA
14136,13,16,NA,Low,NA
14137,13,15,20,Low,NA
14138,13,18,3,NA,NA
14139,15,8,1,NA,1.43
14140,15,11,3,NA,0.35
14141,15,10,NA,NA,NA
14142,15,11,NA,NA,NA
14143,15,12,1,NA,NA
14144,15,11,NA,NA,NA
14145,15,13,NA,NA,NA
14146,15,9,53,NA,NA
14147,15,11,102,NA,NA
14148,15,9,55,NA,NA
14149,11,22,NA,NA,1.86
14150,11,22,26,NA,1.01
14151,11,23,75,NA,NA
14152,11,23,NA,NA,NA
14153,11,23,15,NA,NA
14154,11,23,4,NA,NA
14155,11,23,15,NA,NA
14156,11,24,14,Low,NA
14157,11,24,7,Low,NA
14158,11,24,5,NA,NA
14159,8,NA,3,Low,2.82
14160,8,21,4,Low,1.41
14161,8,20,2,Low,NA
14162,8,19,NA,Low,NA
14163,8,20,3,Low,NA
14164,8,20,NA,Low,NA
14165,8,20,25,Low,NA
14166,8,17,27,Low,NA
14167,8,17,58,Low,NA
14168,8,18,1,Low,NA
14169,18,21,4,Moderate,8.32
14170,18,22,26,Low,1.48
14171,18,22,5,Low,NA
14172,18,21,NA,Low,NA
14173,18,10,8,Low,NA
14174,18,21,NA,Low,NA
14175,18,22,53,Low,NA
14176,18,14,28,Moderate,NA
14177,18,15,66,Moderate,NA
14178,18,21,NA,High,NA
14179,13,15,NA,NA,1.49
14180,13,14,46,NA,0.74
14181,13,16,NA,NA,NA
14182,13,16,NA,NA,NA
14183,13,16,NA,NA,NA
14184,13,16,NA,NA,NA
14185,13,17,NA,NA,NA
14186,13,14,13,Low,NA
14187,13,13,27,Low,NA
14188,13,18,28,Moderate,NA
14189,NA,NA,NA,None,NA
14190,NA,NA,NA,None,NA
14191,NA,NA,NA,None,NA
14192,NA,NA,NA,None,NA
14193,NA,NA,NA,None,NA
14194,NA,NA,NA,None,NA
14195,NA,NA,NA,None,NA
14196,NA,NA,NA,None,NA
14197,NA,NA,NA,None,NA
14198,NA,NA,NA,None,NA
14199,11,16,NA,NA,3.91
14200,11,16,3,NA,1.14
14201,11,15,NA,NA,NA
14202,11,16,NA,NA,NA
14203,11,15,NA,NA,NA
14204,11,13,NA,NA,NA
14205,11,14,6,NA,NA
14206,11,13,9,NA,NA
14207,11,14,31,NA,NA
14208,11,13,1,NA,NA
14209,9,NA,NA,None,NA
14210,9,NA,NA,None,NA
14211,9,19,NA,Moderate,NA
14212,9,20,NA,High,NA
14213,9,22,NA,High,NA
14214,9,22,NA,NA,NA
14215,9,23,NA,NA,NA
14216,9,21,NA,Moderate,NA
14217,9,21,NA,Moderate,NA
14218,9,19,3,High,NA
14219,NA,NA,NA,None,NA
14220,NA,20,13,NA,0.71
14221,NA,NA,NA,None,NA
14222,NA,NA,NA,None,NA
14223,NA,NA,NA,None,NA
14224,NA,NA,NA,None,NA
14225,NA,22,NA,NA,NA
14226,NA,18,NA,Low,NA
14227,NA,NA,NA,None,NA
14228,NA,NA,NA,None,NA
14229,4,20,NA,NA,1.2
14230,4,20,72,NA,0.62
14231,4,21,2,NA,NA
14232,4,21,NA,NA,NA
14233,4,21,10,NA,NA
14234,4,21,NA,NA,NA
14235,4,21,8,NA,NA
14236,4,19,NA,NA,NA
14237,4,19,39,NA,NA
14238,4,21,NA,NA,NA
14239,13,18,NA,NA,1.12
14240,13,16,NA,NA,0.55
14241,13,21,NA,NA,NA
14242,13,22,NA,NA,NA
14243,13,22,70,NA,NA
14244,13,23,NA,NA,NA
14245,13,24,NA,NA,NA
14246,13,19,29,NA,NA
14247,13,19,73,NA,NA
14248,13,19,92,NA,NA
14249,4,20,12,Moderate,12.7
14250,4,20,10,NA,NA
14251,4,19,2,Low,NA
14252,4,NA,NA,None,NA
14253,4,NA,NA,None,NA
14254,4,20,2,Low,NA
14255,4,19,NA,Low,NA
14256,4,18,5,High,NA
14257,4,18,39,High,NA
14258,4,16,2,High,NA
14259,15,24,NA,NA,1.89
14260,15,24,NA,NA,0.57
14261,15,22,NA,NA,NA
14262,15,23,NA,NA,NA
14263,15,24,NA,NA,NA
14264,15,24,NA,NA,NA
14265,15,26,NA,NA,NA
14266,15,22,2,Low,NA
14267,15,22,11,Low,NA
14268,15,21,3,Low,NA
14269,5,18,NA,Low,3.49
14270,5,17,NA,Low,0.68
14271,5,16,NA,Low,NA
14272,5,16,NA,Low,NA
14273,5,16,NA,Low,NA
14274,5,15,NA,Low,NA
14275,5,15,25,Low,NA
14276,5,16,12,Low,NA
14277,5,16,5,Low,NA
14278,5,18,NA,Low,NA
14279,17,14,3,Moderate,1.45
14280,17,14,15,Low,3.45
14281,17,16,NA,Moderate,NA
14282,17,16,NA,Moderate,NA
14283,17,15,4,Low,NA
14284,17,17,7,Moderate,NA
14285,17,19,3,Moderate,NA
14286,17,15,4,Low,NA
14287,17,15,12,Low,NA
14288,17,10,NA,Moderate,NA
14289,5,14,NA,NA,2.61
14290,5,16,54,NA,1
14291,5,15,NA,NA,NA
14292,5,18,NA,NA,NA
14293,5,19,2,NA,NA
14294,5,20,NA,NA,NA
14295,5,22,3,NA,NA
14296,5,10,30,Low,NA
14297,5,10,20,Low,NA
14298,5,9,9,NA,NA
14299,8,17,NA,Low,1.11
14300,8,17,16,NA,0.55
14301,8,19,NA,NA,NA
14302,8,19,NA,Low,NA
14303,8,19,6,Low,NA
14304,8,19,NA,Moderate,NA
14305,8,18,NA,NA,NA
14306,8,16,25,Low,NA
14307,8,15,39,Low,NA
14308,8,15,7,Moderate,NA
14309,5,21,NA,Low,5.44
14310,5,20,30,Low,1.4
14311,5,20,NA,Low,NA
14312,5,19,NA,Low,NA
14313,5,19,NA,Low,NA
14314,5,20,2,Low,NA
14315,5,21,26,Low,NA
14316,5,18,24,Low,NA
14317,5,18,52,Low,NA
14318,5,18,NA,Low,NA
14319,18,4,7,Low,2.65
14320,18,3,12,Low,2.79
14321,18,7,NA,Low,NA
14322,18,NA,NA,None,NA
14323,18,NA,NA,None,NA
14324,18,7,NA,Low,NA
14325,18,7,NA,Low,NA
14326,18,8,NA,High,NA
14327,18,7,3,High,NA
14328,18,4,16,High,NA
14329,18,17,NA,NA,0.74
14330,18,18,NA,NA,0.84
14331,18,18,2,Low,NA
14332,18,16,3,NA,NA
14333,18,17,7,NA,NA
14334,18,17,NA,NA,NA
14335,18,16,NA,NA,NA
14336,18,13,13,NA,NA
14337,18,14,31,NA,NA
14338,18,13,5,NA,NA
14339,22,10,NA,High,30.1
14340,22,11,NA,Low,1.48
14341,22,12,NA,Moderate,NA
14342,22,14,NA,High,NA
14343,22,15,NA,Moderate,NA
14344,22,14,NA,Low,NA
14345,22,16,NA,Low,NA
14346,22,12,14,High,NA
14347,22,12,120,High,NA
14348,22,12,NA,High,NA
14349,15,16,NA,NA,NA
14350,15,20,61,NA,NA
14351,15,15,9,NA,NA
14352,15,16,3,Low,NA
14353,15,16,2,NA,NA
14354,15,17,NA,NA,NA
14355,15,18,4,NA,NA
14356,15,13,NA,Low,NA
14357,15,13,4,Low,NA
14358,15,17,20,Moderate,NA
14359,5,14,10,Low,1.55
14360,5,15,12,NA,1.2
14361,5,15,NA,NA,NA
14362,5,14,1,NA,NA
14363,5,15,NA,NA,NA
14364,5,15,NA,NA,NA
14365,5,16,NA,NA,NA
14366,5,14,11,Low,NA
14367,5,15,53,Low,NA
14368,5,12,8,Low,NA
14369,11,22,NA,NA,1.75
14370,11,22,NA,NA,0.7
14371,11,21,NA,NA,NA
14372,11,21,NA,NA,NA
14373,11,21,4,NA,NA
14374,11,21,NA,NA,NA
14375,11,22,NA,NA,NA
14376,11,19,NA,NA,NA
14377,11,19,47,NA,NA
14378,11,22,8,NA,NA
14379,13,21,NA,NA,3.74
14380,13,22,NA,NA,0.63
14381,13,22,28,NA,NA
14382,13,22,6,NA,NA
14383,13,22,NA,NA,NA
14384,13,23,NA,NA,NA
14385,13,24,5,NA,NA
14386,13,17,11,Low,NA
14387,13,17,18,NA,NA
14388,13,21,NA,NA,NA
14389,13,23,NA,NA,1.16
14390,13,23,18,NA,0.53
14391,13,19,7,NA,NA
14392,13,20,8,NA,NA
14393,13,21,24,NA,NA
14394,13,20,6,NA,NA
14395,13,20,11,NA,NA
14396,13,17,18,Low,NA
14397,13,17,43,Low,NA
14398,13,21,1,NA,NA
14399,11,23,NA,NA,1.6
14400,11,23,5,NA,0.63
14401,11,20,7,NA,NA
14402,11,20,NA,NA,NA
14403,11,21,3,NA,NA
14404,11,20,14,NA,NA
14405,11,20,26,NA,NA
14406,11,20,4,NA,NA
14407,11,20,9,NA,NA
14408,11,22,5,NA,NA
14409,9,22,NA,NA,0.8
14410,9,22,1,NA,0.8
14411,9,22,18,NA,NA
14412,9,21,NA,NA,NA
14413,9,22,2,NA,NA
14414,9,23,NA,NA,NA
14415,9,23,1,NA,NA
14416,9,22,15,NA,NA
14417,9,21,26,NA,NA
14418,9,20,2,NA,NA
14419,4,22,NA,NA,1.2
14420,4,24,8,NA,0.91
14421,4,23,4,NA,NA
14422,4,23,NA,NA,NA
14423,4,23,8,NA,NA
14424,4,24,6,NA,NA
14425,4,26,5,NA,NA
14426,4,22,7,NA,NA
14427,4,21,27,NA,NA
14428,4,20,NA,NA,NA
14429,15,18,7,NA,1.33
14430,15,18,13,NA,0.95
14431,15,19,4,NA,NA
14432,15,9,16,NA,NA
14433,15,18,8,NA,NA
14434,15,18,1,NA,NA
14435,15,18,9,NA,NA
14436,15,16,NA,NA,NA
14437,15,17,4,NA,NA
14438,15,18,3,NA,NA
14439,17,10,NA,Low,1.1
14440,17,11,NA,NA,5.77
14441,17,19,NA,NA,NA
14442,17,18,2,Moderate,NA
14443,17,18,4,NA,NA
14444,17,16,NA,Low,NA
14445,17,14,12,Low,NA
14446,17,14,1,Moderate,NA
14447,17,14,7,Moderate,NA
14448,17,16,NA,Low,NA
14449,16,16,2,NA,5.75
14450,16,15,42,NA,0.75
14451,16,12,NA,NA,NA
14452,16,12,NA,NA,NA
14453,16,12,NA,NA,NA
14454,16,12,NA,NA,NA
14455,16,12,NA,NA,NA
14456,16,17,NA,NA,NA
14457,16,15,17,NA,NA
14458,16,15,NA,NA,NA
14459,18,16,NA,NA,0.85
14460,18,16,2,NA,1.27
14461,18,18,NA,NA,NA
14462,18,19,NA,NA,NA
14463,18,20,NA,NA,NA
14464,18,20,NA,NA,NA
14465,18,20,NA,NA,NA
14466,18,15,11,NA,NA
14467,18,14,19,NA,NA
14468,18,20,7,NA,NA
14469,17,12,16,NA,0.64
14470,17,12,35,NA,1.29
14471,17,15,NA,Low,NA
14472,17,15,NA,NA,NA
14473,17,14,NA,NA,NA
14474,17,15,NA,NA,NA
14475,17,16,NA,NA,NA
14476,17,11,NA,NA,NA
14477,17,13,3,NA,NA
14478,17,11,4,NA,NA
14479,18,18,8,NA,1.96
14480,18,18,NA,NA,0.61
14481,18,23,NA,NA,NA
14482,18,22,NA,NA,NA
14483,18,22,8,NA,NA
14484,18,20,1,NA,NA
14485,18,21,NA,NA,NA
14486,18,20,2,NA,NA
14487,18,20,53,NA,NA
14488,18,16,3,NA,NA
14489,18,20,8,Low,1.28
14490,18,20,NA,NA,0.78
14491,18,18,25,NA,NA
14492,18,18,50,NA,NA
14493,18,18,53,NA,NA
14494,18,19,2,NA,NA
14495,18,20,3,NA,NA
14496,18,21,2,Low,NA
14497,18,21,6,Low,NA
14498,18,17,1,NA,NA
14499,4,20,5,Low,1.2
14500,4,22,31,Low,0.79
14501,4,20,NA,Low,NA
14502,4,21,NA,Low,NA
14503,4,20,2,Low,NA
14504,4,20,1,Low,NA
14505,4,22,15,Low,NA
14506,4,18,10,Low,NA
14507,4,17,50,Low,NA
14508,4,20,NA,Low,NA
14509,8,11,1,Low,0.7
14510,8,11,33,Low,0.47
14511,8,14,NA,Low,NA
14512,8,15,NA,Low,NA
14513,8,15,3,Low,NA
14514,8,14,2,Low,NA
14515,8,15,NA,Low,NA
14516,8,11,NA,Low,NA
14517,8,11,13,Low,NA
14518,8,15,169,Low,NA
14519,4,16,NA,NA,0.96
14520,4,16,52,NA,0.8
14521,4,22,NA,NA,NA
14522,4,22,NA,NA,NA
14523,4,23,NA,NA,NA
14524,4,22,NA,NA,NA
14525,4,23,NA,NA,NA
14526,4,20,7,NA,NA
14527,4,20,4,NA,NA
14528,4,18,NA,NA,NA
14529,8,20,8,Low,1.02
14530,8,20,14,NA,0.86
14531,8,17,NA,Low,NA
14532,8,18,NA,Moderate,NA
14533,8,21,1,Low,NA
14534,8,20,4,Low,NA
14535,8,21,5,Low,NA
14536,8,16,NA,Low,NA
14537,8,16,27,Low,NA
14538,8,14,9,NA,NA
14539,13,NA,NA,None,NA
14540,13,NA,NA,None,NA
14541,13,NA,NA,None,NA
14542,13,NA,NA,None,NA
14543,13,NA,NA,None,NA
14544,13,NA,NA,None,NA
14545,13,24,NA,NA,NA
14546,13,16,NA,NA,NA
14547,13,16,NA,NA,NA
14548,13,NA,NA,None,NA
14549,18,8,NA,NA,0.39
14550,18,9,3,NA,0.33
14551,18,8,4,NA,NA
14552,18,8,NA,NA,NA
14553,18,12,2,NA,NA
14554,18,12,NA,NA,NA
14555,18,15,3,NA,NA
14556,18,8,1,NA,NA
14557,18,8,2,NA,NA
14558,18,5,10,NA,NA
14559,4,NA,NA,None,NA
14560,4,NA,NA,None,NA
14561,4,NA,NA,None,NA
14562,4,NA,NA,None,NA
14563,4,NA,NA,None,NA
14564,4,NA,NA,None,NA
14565,4,19,NA,NA,NA
14566,4,16,NA,NA,NA
14567,4,15,NA,NA,NA
14568,4,NA,NA,None,NA
14569,8,NA,NA,None,NA
14570,8,NA,NA,None,NA
14571,8,NA,NA,None,NA
14572,8,NA,NA,None,NA
14573,8,NA,NA,None,NA
14574,8,NA,NA,None,NA
14575,8,21,16,NA,NA
14576,8,13,11,NA,NA
14577,8,16,NA,NA,NA
14578,8,NA,NA,None,NA
14579,4,13,5,NA,1.38
14580,4,15,15,NA,2.85
14581,4,13,NA,NA,NA
14582,4,14,NA,NA,NA
14583,4,14,8,NA,NA
14584,4,15,NA,NA,NA
14585,4,15,NA,NA,NA
14586,4,10,NA,NA,NA
14587,4,10,NA,NA,NA
14588,4,8,NA,NA,NA
14589,22,NA,NA,None,NA
14590,22,NA,NA,None,NA
14591,22,NA,NA,None,NA
14592,22,NA,NA,None,NA
14593,22,NA,NA,None,NA
14594,22,NA,NA,None,NA
14595,22,23,4,Moderate,NA
14596,22,17,52,Moderate,NA
14597,22,17,106,Moderate,NA
14598,22,20,NA,High,4.93
14599,11,NA,NA,None,NA
14600,11,17,27,Low,0.47
14601,11,18,2,Low,NA
14602,11,17,NA,Low,NA
14603,11,18,6,Low,NA
14604,11,18,NA,Low,NA
14605,11,16,NA,Low,NA
14606,11,15,6,Low,NA
14607,11,15,10,Low,NA
14608,11,17,NA,Low,NA
14609,11,16,31,NA,118
14610,11,14,48,NA,0.55
14611,11,18,NA,NA,NA
14612,11,18,NA,NA,NA
14613,11,18,4,NA,NA
14614,11,19,NA,NA,NA
14615,11,19,NA,NA,NA
14616,11,17,NA,Low,NA
14617,11,15,NA,Low,NA
14618,11,17,2,Low,NA
14619,NA,17,75,Low,NA
14620,NA,22,NA,Low,NA
14621,21,21,8,Moderate,1.24
14622,21,22,4,Low,1.86
14623,21,22,70,Moderate,NA
14624,21,23,50,Low,NA
14625,21,23,NA,Low,NA
14626,21,22,300,Low,NA
14627,21,24,1,Low,NA
14628,21,19,7,Low,NA
14629,21,19,5,Low,NA
14630,21,22,NA,Low,NA
14631,15,6,5,Low,1.45
14632,15,6,10,Low,1.88
14633,15,7,10,Low,NA
14634,15,6,NA,Low,NA
14635,15,8,5,Low,NA
14636,15,8,12,Low,NA
14637,15,10,15,Low,NA
14638,15,9,16,Low,NA
14639,15,9,42,Low,NA
14640,15,9,NA,Low,NA
14641,13,NA,NA,None,NA
14642,13,NA,NA,None,NA
14643,13,NA,NA,None,NA
14644,13,NA,NA,None,NA
14645,13,NA,NA,None,NA
14646,13,NA,NA,None,NA
14647,13,NA,NA,Low,NA
14648,13,11.7,NA,Low,NA
14649,13,11.5,1,Low,NA
14650,13,9,NA,Low,NA
14651,15,20,NA,Low,31
14652,15,18,41,NA,20
14653,15,20,3,Moderate,NA
14654,15,20,NA,Moderate,NA
14655,15,20,5,Low,NA
14656,15,20,6,Moderate,NA
14657,15,20,8,Low,NA
14658,15,18,3,Moderate,NA
14659,15,18,8,Moderate,NA
14660,15,22,NA,Moderate,NA
14661,9,19,NA,NA,0.55
14662,9,16,25,NA,1.65
14663,9,16,5,NA,NA
14664,9,15,NA,NA,NA
14665,9,15,35,NA,NA
14666,9,16,NA,NA,NA
14667,9,16,7,NA,NA
14668,9,12,13,NA,NA
14669,9,14,61,NA,NA
14670,9,15,NA,NA,NA
14671,21,22,3,Low,4.01
14672,21,22,7,NA,6.71
14673,21,22,NA,High,NA
14674,21,24,NA,High,NA
14675,21,24,60,High,NA
14676,21,24,NA,High,NA
14677,21,24,1,High,NA
14678,21,20,3,Low,NA
14679,21,20,43,Low,NA
14680,21,23,7,Low,NA
14681,5,21,NA,NA,0.78
14682,5,21,NA,NA,5.21
14683,5,17,27,NA,NA
14684,5,17,NA,NA,NA
14685,5,19,2,NA,NA
14686,5,18,NA,NA,NA
14687,5,18,NA,NA,NA
14688,5,18,5,NA,NA
14689,5,18,56,NA,NA
14690,5,20,NA,NA,NA
14691,8,19,NA,NA,1.47
14692,8,21,7,NA,1.63
14693,8,17,3,NA,NA
14694,8,18,NA,NA,NA
14695,8,19,4,NA,NA
14696,8,18,6,Moderate,NA
14697,8,18,2,NA,NA
14698,8,18,18,NA,NA
14699,8,17,65,NA,NA
14700,8,14,5,NA,NA
14701,13,NA,NA,NA,2.17
14702,13,NA,NA,NA,0.76
14703,13,25,3,NA,NA
14704,13,25,NA,NA,NA
14705,13,25,24,NA,NA
14706,13,26,NA,NA,NA
14707,13,26,NA,NA,NA
14708,13,23,NA,NA,NA
14709,13,22,NA,NA,NA
14710,13,24,8,Low,NA
14711,15,NA,NA,None,NA
14712,15,19,32,NA,0.77
14713,15,NA,NA,None,NA
14714,15,NA,NA,None,NA
14715,15,NA,NA,None,NA
14716,15,NA,NA,None,NA
14717,15,21,7,NA,NA
14718,13,NA,NA,None,NA
14719,13,19,2,Low,2.33
14720,13,19,23,High,NA
14721,13,19,15,High,NA
14722,13,20,NA,Moderate,NA
14723,13,20,NA,High,NA
14724,13,21,45,Low,NA
14725,13,16,10,Moderate,NA
14726,13,15,5,Moderate,NA
14727,13,16,NA,High,NA
14728,30,5,12,Moderate,0.93
14729,30,6,75,Low,0.6
14730,30,8,NA,Low,NA
14731,30,NA,NA,None,NA
14732,30,NA,NA,None,NA
14733,30,NA,NA,None,NA
14734,30,8,NA,Low,NA
14735,30,5,NA,High,NA
14736,30,5,NA,High,NA
14737,30,6,NA,High,NA
14738,18,11,NA,High,2.47
